codigo_bairro,bairro,area_km2,populacao_residente,densidade_hab_km2,domicilios_particulares_total,domicilios_ocupados,domicilios_uso_ocasional,domicilios_vagos,pct_nao_ocupados,media_moradores_domicilio
2408102029,Nossa Senhora da Apresentação,10.27,76177,7416.8,31823,26343,500,4980,0.172,2.9
2408102034,Pajuçara,7.66,56454,7369.1,24049,19789,394,3866,0.177,2.9
2408102033,Lagoa Azul,11.65,55607,4773.7,22994,19127,452,3415,0.168,2.9
2408102031,Potengi,8.33,48596,5830.4,19903,17002,323,2578,0.146,2.8
2408102021,Filipe Camarão,6.48,44416,6852.1,18539,15214,479,2846,0.179,2.9
2408102038,Planalto,4.69,37166,7918.8,16695,13096,672,2927,0.21600000000000003,2.8
2408102017,Lagoa Nova,7.66,35725,4664.4,16736,13588,1137,2011,0.188,2.6
2408102026,Ponta Negra,11.59,35151,3032.2,19840,14232,2359,3249,0.28300000000000003,2.5
2408102023,Pitimbú,7.14,24488,3429.4,10798,8948,521,1329,0.171,2.7
2408102024,Neópolis,3.19,23352,7324.7,10762,8824,591,1347,0.18,2.6
2408102025,Capim Macio,4.26,22358,5251.7,11736,9051,1112,1573,0.22899999999999998,2.5
2408102011,Alecrim,3.44,21976,6384.7,10644,8051,448,2145,0.244,2.7
2408102028,Igapó,2.21,21293,9652.7,9975,7797,156,2022,0.218,2.7
2408102012,Quintas,2.68,21079,7868.5,9904,7750,252,1902,0.217,2.7
2408102019,Candelária,5.88,19947,3394.3,9027,7374,565,1088,0.183,2.7
2408102008,Tirol,3.73,19566,5247.5,9026,7393,481,1152,0.18100000000000002,2.6
2408102015,Cidade da Esperança,1.89,18059,9557.6,7242,6295,175,772,0.131,2.9
2408102022,Guarapés,8.8,17761,2018.0,7755,5913,359,1483,0.23800000000000002,3.0
2408102035,Redinha,9.26,16343,1764.0,7081,5564,358,1159,0.214,2.9
2408102014,Bom Pastor,3.68,15585,4238.7,6775,5567,140,1068,0.17800000000000002,2.8
2408102037,Nossa Senhora de Nazaré,1.44,15052,10468.8,6605,5463,188,954,0.17300000000000001,2.8
2408102020,Cidade Nova,4.45,12894,2896.9,5987,4468,297,1222,0.254,2.9
2408102016,Dix-Sept Rosado,1.1,12865,11717.8,5883,4688,149,1046,0.203,2.7
2408102007,Mãe Luíza,0.75,12295,16492.3,4857,4142,100,615,0.147,3.0
2408102018,Nova Descoberta,2.11,10359,4900.4,4663,3874,169,620,0.16899999999999998,2.7
2408102036,Barro Vermelho,0.96,8439,8833.9,3863,3091,234,538,0.2,2.7
2408102003,Rocas,0.61,8367,13702.9,3505,2961,46,498,0.155,2.8
2408102013,Nordeste,3.17,8068,2541.6,3905,2934,110,861,0.249,2.7
2408102010,Lagoa Seca,0.61,5628,9160.2,2691,2198,113,380,0.183,2.5
2408102005,Petrópolis,0.79,5401,6819.4,3067,2191,387,489,0.28600000000000003,2.4
2408102009,Cidade Alta,1.16,5345,4590.3,3150,2085,275,790,0.33799999999999997,2.6
2408102001,Santos Reis,2.22,4727,2134.0,1781,1562,45,174,0.12300000000000001,3.0
2408102002,Praia do Meio,0.53,3671,6935.6,2044,1405,286,353,0.313,2.6
2408102006,Areia Preta,0.37,3349,9048.9,1638,1222,153,263,0.254,2.7
2408102004,Ribeira,1.02,2699,2658.1,1287,960,46,281,0.254,2.8
2408102032,Salinas,9.72,1042,107.2,424,345,11,68,0.18600000000000003,3.0
